Binance Futures Report 
Coin 	BuyDate 	CloseDate 	BuyPrice 	SellPrice 	ProfitUSDT 	Profit 	ProfitAbs 	Lev 	Comment 	SellReason 	Status 	dBTC 	d24BTC 	dM24 	Pump1H 	Dump1H 	d3h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
CTK 	2022-08-30 19:44:41 	2022-08-30 19:44:42 	0.93930000 	0.94590000 	1.33 	33.1% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 82  AppLatency: 0.1 sec  API Req: 759 / 2400   API Orders: 9 / 1200  PriceLag: 0.04% (LIT PriceLag: 0.07%) Latency: 478 / 478  Ping: 472 / 487 	Sell Price 	done 	-0.98 	-3.29 	-4.45 	1.61 	3.27 	5.04 	5.04 	3.75 	2.65 	0.72 	0 	2.03 	9.6 m 	110.5 m
1000XEC 	2022-08-29 11:00:11 	2022-08-29 11:00:21 	0.04391000 	0.04413000 	0.92 	11.5% 	0.46% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 27  AppLatency: 0.0 sec  API Req: 367 / 2400   API Orders: 17 / 1200   Orders 10S: 14 / 300  PriceLag: 0.02% (AUDIO PriceLag: 0.02%) Latency: 7276 / 7276  Ping: 25 / 24 	Auto Price Down 	done 	0.22 	-0.05 	-1.37 	2.61 	0.25 	5.86 	2.41 	2.72 	2.7 	0.1 	2.48 	5.61 	23.3 m 	689.7 m
FIL 	2022-08-01 08:16:29 	2022-08-01 08:16:33 	10.26500000 	10.29600000 	0.52 	13.1% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 53  AppLatency: 0.0 sec  API Req: 640 / 2400   API Orders: 13 / 1200   Orders 10S: 12 / 300  PriceLag: 0.04% (DGB PriceLag: 0.04%) Latency: 693 / 693  Ping: 10 / 13 	Auto Price Down 	done 	-0.18 	-1.29 	-0.86 	0.16 	5.22 	12.14 	3.35 	4.11 	3.01 	0.06 	2.84 	3.48 	100.0 m 	2620.2 m
ENJ 	2022-07-30 22:55:49 	2022-07-30 22:55:53 	0.65160000 	0.64970000 	-0.7 	-17.6% 	-0.35% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.0 sec  API Req: 924 / 2400   API Orders: 5 / 1200   Orders 10S: 3 / 300  PriceLag: 0.04% (CELO PriceLag: 0.05%) Latency: 297 / 297  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.6510 BidEMA: 0.6510 LastPrice = 0.6512 BuyPrice = 0.6516 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.6503 All 	done 	-1.61 	-0.4 	0.57 	0.16 	2.79 	9.59 	2.38 	2.09 	1.75 	0.19 	0.02 	0.81 	4.0 m 	65.3 m
RVN 	2022-07-30 03:16:05 	2022-07-30 03:16:14 	0.04058000 	0.04058000 	-0.12 	-3.0% 	-0.06% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 24  AppLatency: 0.0 sec  API Req: 95 / 2400   API Orders: 1 / 1200  PriceLag: 0.04% (JASMY PriceLag: 0.05%) Latency: 202 / 202  Ping: 10 / 10 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.09% < 0.3%  | EMA(3sec, 1sec) = 0.08% < 0.4%  | EMA(3sec, 1sec) = 0.08%  EMA(3sec, 1sec) = 0.08% 	done 	-0.27 	-0.11 	0.8 	5.78 	2.72 	10.73 	8.24 	4.75 	1.53 	0.1 	0 	1.48 	6.3 m 	207.8 m
NKN 	2022-07-15 11:47:35 	2022-07-15 11:47:37 	0.13586000 	0.13662000 	1 	25.0% 	0.5% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 29  AppLatency: 0.0 sec  API Req: 658 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.04% (JASMY PriceLag: 0.05%) Latency: 280 / 280  Ping: 10 / 10 	Auto Price Down 	done 	0.27 	2.7 	3.26 	51.47 	0.17 	52.34 	33.7 	5.55 	2.95 	0.32 	0 	49.57 	37.4 m 	92.9 m
1000SHIB 	2022-06-24 17:45:41 	2022-06-24 17:45:42 	0.01054500 	0.01061900 	1.32 	33.1% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 57  AppLatency: 0.0 sec  API Req: 754 / 2400   API Orders: 1 / 1200  PriceLag: 0.05% (SRM PriceLag: 0.05%) Latency: 642 / 642  Ping: 13 / 16 	Sell Price 	done 	-0.92 	0.89 	1.97 	1.28 	2.39 	6.37 	1.72 	2.6 	1.98 	0.37 	0 	1.28 	26.2 m 	550.9 m
GALA 	2022-06-15 23:02:55 	2022-06-15 23:03:00 	0.06052000 	0.06070000 	0.51 	12.9% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 28  AppLatency: 0.0 sec  API Req: 991 / 2400   API Orders: 10 / 1200   Orders 10S: 3 / 300  PriceLag: 0.03% (EOS PriceLag: 0.05%) Latency: 483 / 483  Ping: 10 / 10 	Auto Price Down 	done 	-0.84 	0.97 	4.63 	3.38 	0.36 	17.35 	1.67 	2.19 	1.66 	0.38 	0.39 	0.55 	27.6 m 	446.0 m
ATA 	2022-06-14 20:32:11 	2022-06-14 20:32:11 	0.17850000 	0.17970000 	1.26 	15.8% 	0.63% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 15  AppLatency: 0.1 sec  API Req: 182 / 2400   API Orders: 2 / 1200  PriceLag: 0.02% (RSR PriceLag: 0.02%) Latency: 234 / 234  Ping: 10 / 11 	Sell Price 	done 	0.44 	0.56 	0.74 	2.59 	1.72 	22.92 	2.78 	3.31 	2.58 	0.15 	0 	0.74 	24.2 m 	167.8 m
SKL 	2022-06-14 17:12:34 	2022-06-14 17:12:39 	0.05779000 	0.05796000 	0.25 	12.7% 	0.25% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 35  AppLatency: 0.0 sec  API Req: 651 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.03% (CRV PriceLag: 0.07%) Latency: 329 / 329  Ping: 10 / 10 	Auto Price Down 	done 	-0.49 	-2.01 	0.09 	2.89 	1.54 	12.49 	3.61 	3.82 	2.23 	0.29 	0 	2.62 	12.8 m 	67.6 m
ATA 	2022-06-13 20:15:15 	2022-06-13 20:15:15 	0.17000000 	0.17120000 	0.66 	16.6% 	0.67% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 22  AppLatency: 0.0 sec  API Req: 280 / 2400   API Orders: 9 / 1200   Orders 10S: 1 / 300  PriceLag: 0.04% (TRB PriceLag: 0.04%) Latency: 290 / 290  Ping: 10 / 17 	Sell Price 	done 	-0.98 	-8.24 	-4.68 	26.18 	1.26 	36.86 	13.77 	9.25 	8.3 	0.31 	0 	17.25 	16.7 m 	143.6 m
CTK 	2022-06-13 19:38:18 	2022-06-13 19:38:20 	0.81400000 	0.81810000 	0.46 	23.2% 	0.46% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 33  AppLatency: 0.0 sec  API Req: 435 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.06% (DENT PriceLag: 0.06%) Latency: 303 / 303  Ping: 10 / 10 	Auto Price Down 	done 	1.56 	-6.78 	-3.19 	5.55 	2.44 	12.33 	3.88 	3.15 	2.7 	0.51 	0 	1.35 	6.1 m 	213.3 m
CTK 	2022-06-13 03:47:03 	2022-06-13 03:47:04 	0.87900000 	0.88650000 	0.79 	39.6% 	0.79% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 50  AppLatency: 0.1 sec  API Req: 80 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.06% (STMX PriceLag: 0.07%) Latency: 442 / 447  Ping: 25 / 25 	Sell Price 	done 	-0.54 	-3.85 	-5.7 	14.08 	0 	15.7 	4.79 	6.4 	4.47 	0.44 	0 	16.8 	20.4 m 	59.9 m
LIT 	2022-06-13 01:40:49 	2022-06-13 01:40:51 	0.79100000 	0.79500000 	0.46 	23.3% 	0.47% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 34  AppLatency: 0.1 sec  API Req: 983 / 2400   API Orders: 1 / 1200  PriceLag: 0.03% (DAR PriceLag: 0.03%) Latency: 256 / 256  Ping: 10 / 10 	Auto Price Down 	done 	-0.92 	-2.48 	-2.26 	3.27 	10.9 	32.55 	5.91 	5.22 	3.82 	0.31 	0.01 	0.29 	22.3 m 	362.7 m
LINA 	2022-06-11 14:15:53 	2022-06-11 14:15:57 	0.01112000 	0.01116000 	0.32 	16.0% 	0.32% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 3 Sys: 17  AppLatency: 0.0 sec  API Req: 947 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.03% (SRM PriceLag: 0.05%) Latency: 196 / 196  Ping: 10 / 10 	Auto Price Down 	done 	-0.21 	-1.29 	-4.44 	1.52 	5.29 	6.91 	3.26 	3.33 	2.25 	0.09 	0.05 	3.14 	6.8 m 	81.2 m
FLM 	2022-06-08 23:58:42 	2022-06-08 23:58:44 	0.11650000 	0.11560000 	-0.83 	-41.6% 	-0.83% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 14  AppLatency: 0.0 sec  API Req: 797 / 2400   API Orders: 5 / 1200   Orders 10S: 1 / 300  PriceLag: 0.01% (RAY PriceLag: 0.06%) Latency: 195 / 195  Ping: 19 / 18 	StopLoss AutoActivated on price drop: BID = 0.1161 BidEMA: 0.1161 LastPrice = 0.1162 BuyPrice = 0.1165 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.1163 All 	done 	0 	-1.36 	-2.18 	0.73 	4.43 	8.98 	3.1 	3.53 	2.93 	0.13 	0 	1.63 	4.1 m 	186.4 m
ATA 	2022-06-08 22:13:21 	2022-06-08 22:13:23 	0.24230000 	0.24350000 	0.43 	10.9% 	0.43% 	25 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 20  AppLatency: 0.0 sec  API Req: 383 / 2400   API Orders: 6 / 1200   Orders 10S: 1 / 300  PriceLag: 0.01% (TRB PriceLag: 0.04%) Latency: 165 / 165  Ping: 10 / 10 	Auto Price Down 	done 	-0.1 	-1.51 	-1.46 	12.72 	5.75 	28.13 	10.34 	4.92 	2.73 	0.11 	0 	7.8 	54.7 m 	204.9 m
RSR 	2022-06-08 02:51:54 	2022-06-08 02:51:56 	0.00997000 	0.01002000 	0.46 	23.1% 	0.46% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 3 Sys: 31  AppLatency: 0.1 sec  API Req: 1041 / 2400   API Orders: 19 / 1200   Orders 10S: 8 / 300  PriceLag: 0.03% (ONE PriceLag: 0.04%) Latency: 287 / 287  Ping: 10 / 10 	Auto Price Down 	done 	0.12 	3.76 	3.1 	13.96 	0.85 	59.44 	3.37 	2.87 	2.35 	0.37 	0 	0.45 	49.3 m 	465.5 m
RSR 	2022-06-08 00:53:57 	2022-06-08 00:53:59 	0.00964800 	0.00971600 	0.66 	33.2% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 7 Sys: 22  AppLatency: 0.0 sec  API Req: 1116 / 2400   API Orders: 26 / 1200   Orders 10S: 10 / 300  PriceLag: 0.02% (XTZ PriceLag: 0.02%) Latency: 185 / 185  Ping: 10 / 10 	Sell Price 	done 	0.08 	4.45 	5.53 	7.94 	2.2 	69.29 	5.55 	2.48 	2.29 	0.05 	0 	0.36 	44.5 m 	382.2 m
OCEAN 	2022-06-08 00:45:26 	2022-06-08 00:45:29 	0.28382000 	0.28467000 	0.26 	13.0% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 12 Sys: 42  AppLatency: 0.1 sec  API Req: 543 / 2400   API Orders: 31 / 1200   Orders 10S: 19 / 300  PriceLag: 0.05% (RAY PriceLag: 0.05%) Latency: 238 / 238  Ping: 10 / 14 	Auto Price Down 	done 	0.04 	4.41 	5.21 	6.02 	2.69 	12.83 	5.58 	3.84 	2.9 	0.12 	0 	1.07 	9.8 m 	185.5 m
RSR 	2022-06-08 00:40:47 	2022-06-08 00:40:48 	0.01004300 	0.01000800 	-0.41 	-20.4% 	-0.41% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 30  AppLatency: 0.0 sec  API Req: 931 / 2400   API Orders: 17 / 1200  PriceLag: 0.04% (RAY PriceLag: 0.05%) Latency: 180 / 180  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.01008 BidEMA: 0.01008 LastPrice = 0.01008 BuyPrice = 0.01004 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.0100 	done 	0.04 	4.36 	5.08 	3.51 	8.05 	69.29 	7.64 	3.5 	2.35 	0.04 	0 	0.51 	44.5 m 	382.2 m
HNT 	2022-06-06 11:10:38 	2022-06-06 11:10:53 	10.61700000 	10.61930000 	-0.04 	-1.9% 	-0.04% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 2 Sys: 27  AppLatency: 0.0 sec  API Req: 709 / 2400   API Orders: 13 / 1200   Orders 10S: 5 / 300  PriceLag: 0.05% (LINA PriceLag: 0.05%) Latency: 299 / 299  Ping: 11 / 11 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.05% < 0.3%  | EMA(3sec, 1sec) = 0.06% < 0.4%  | EMA(3sec, 1sec) = 0.06%  EMA(3sec, 1sec) = 0.06% 	done 	0.11 	3.74 	4.18 	1.69 	0.9 	11.14 	1.42 	1.41 	0.99 	0.05 	0 	1.02 	5.4 m 	74.5 m
ICP 	2022-06-04 05:09:56 	2022-06-04 05:10:02 	7.62000000 	7.64000000 	0.22 	11.1% 	0.22% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 20  AppLatency: 0.0 sec  API Req: 1030 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.02% (KNC PriceLag: 0.03%) Latency: 314 / 314  Ping: 10 / 10 	Auto Price Down 	done 	-0.16 	-1.31 	-2.15 	0.64 	1.6 	5.94 	1.76 	2.63 	2.1 	0.14 	0 	5.72 	5.6 m 	206.5 m
GTC 	2022-06-01 02:43:23 	2022-06-01 02:43:25 	3.45300000 	3.45000000 	-0.15 	-7.3% 	-0.15% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 23  AppLatency: 0.0 sec  API Req: 484 / 2400   API Orders: 1 / 1200  PriceLag: 0.02% (AUDIO PriceLag: 0.02%) Latency: 265 / 265  Ping: 11 / 10 	StopLoss AutoActivated on price drop: BID = 3.4890 BidEMA: 3.4890 LastPrice = 3.4895 BuyPrice = 3.4530 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 3.4461 All 	done 	-0.03 	0.41 	0.33 	0.74 	4 	11.62 	4.56 	5.15 	4.94 	0.04 	0 	1.64 	7.8 m 	163.6 m
KAVA 	2022-05-31 16:55:14 	2022-05-31 16:55:17 	2.92130000 	2.93580000 	0.46 	22.8% 	0.46% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 35  AppLatency: 0.0 sec  API Req: 298 / 2400   API Orders: 1 / 1200  PriceLag: 0.06% (ICP PriceLag: 0.06%) Latency: 341 / 341  Ping: 10 / 11 	Auto Price Down 	done 	-0.55 	0.28 	-2.19 	3.8 	1.02 	10.86 	2.98 	2.28 	1.71 	0.18 	0 	4.81 	16.8 m 	144.8 m
BEL 	2022-05-29 02:22:08 	2022-05-29 02:22:11 	0.37160000 	0.37140000 	-0.09 	-4.7% 	-0.09% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 14  AppLatency: 0.0 sec  API Req: 154 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.02% (BEL PriceLag: 0.03%) Latency: 358 / 358  Ping: 10 / 10 	StopLoss AutoActivated on price drop: BID = 0.3701 BidEMA: 0.3701 LastPrice = 0.3703 BuyPrice = 0.3716 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.3709 All 	done 	0.17 	0.67 	0.5 	9.37 	0.1 	9.36 	7.46 	6.08 	2.84 	0.06 	0.04 	4.67 	4.1 m 	66.6 m
LRC 	2022-05-27 09:10:33 	2022-05-27 09:10:38 	0.47040000 	0.47190000 	0.28 	13.9% 	0.28% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 3 Sys: 23  AppLatency: 0.0 sec  API Req: 667 / 2400   API Orders: 1 / 1200  PriceLag: 0.03% (SUSHI PriceLag: 0.04%) Latency: 307 / 307  Ping: 10 / 10 	Auto Price Down 	done 	-0.58 	-1.99 	-6.6 	0.16 	3.47 	10.72 	1.99 	1.47 	1.45 	0.09 	0.01 	3.52 	10.5 m 	287.4 m
FTM 	2022-05-26 08:25:51 	2022-05-26 08:25:55 	0.38990000 	0.38920000 	-0.24 	-12.0% 	-0.24% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 15 Sys: 47  AppLatency: 0.0 sec  API Req: 940 / 2400   API Orders: 1 / 1200  PriceLag: 0.02% (XTZ PriceLag: 0.02%) Latency: 424 / 424  Ping: 13 / 17 	StopLoss AutoActivated on price drop: BID = 0.3884 BidEMA: 0.3884 LastPrice = 0.3889 BuyPrice = 0.3899 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.3891 All 	done 	-0.29 	-0.08 	-2.05 	0.69 	2.57 	3.74 	3.12 	4.26 	2.7 	0.06 	0 	12.28 	27.1 m 	691.8 m
KAVA 	2022-05-13 18:16:31 	2022-05-13 18:16:38 	2.11460000 	2.12090000 	0.26 	12.9% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 44  AppLatency: 0.0 sec  API Req: 618 / 2400   API Orders: 11 / 1200   Orders 10S: 1 / 300  PriceLag: 0.06% (DAR PriceLag: 0.10%) Latency: 333 / 333  Ping: 10 / 10 	Auto Price Down 	done 	-0.67 	2.77 	8.39 	0.43 	8.24 	9.5 	7.92 	5.61 	2.35 	0.23 	0 	6.53 	6.8 m 	79.5 m
WAVES 	2022-05-10 02:09:26 	2022-05-10 02:09:35 	13.23000000 	13.13800000 	-0.75 	-37.7% 	-0.75% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 25  AppLatency: 0.0 sec  API Req: 489 / 2400   API Orders: 2 / 1200  PriceLag: 0.01% (IMX PriceLag: 0.01%) Latency: 300 / 300  Ping: 12 / 11 	StopLoss AutoActivated on price drop: BID = 13.134 BidEMA: 13.134 LastPrice = 13.136 BuyPrice = 13.230 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 13.137 All 	done 	0.31 	-4.95 	-7.97 	1.05 	3.03 	9.71 	2.36 	1.65 	1.25 	0.12 	0 	0.68 	30.6 m 	1008.1 m
ZRX 	2022-05-01 01:46:05 	2022-05-01 01:46:11 	0.81390000 	0.81630000 	0.25 	12.7% 	0.25% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 2 Sys: 13  AppLatency: 0.0 sec  API Req: 82 / 2400   API Orders: 2 / 1200  PriceLag: 0.01% (SOL PriceLag: 0.01%) Latency: 195 / 195  Ping: 13 / 13 	Auto Price Down 	done 	0.16 	-0.45 	-4.22 	0.96 	1.56 	3.94 	1.56 	1.9 	1.44 	0.04 	0 	2.41 	9.2 m 	244.9 m
STORJ 	2022-04-20 15:00:04 	2022-04-20 15:00:05 	1.26920000 	1.25700000 	-1.02 	-51.0% 	-1.02% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 3 Sys: 24  AppLatency: 0.0 sec  API Req: 73 / 2400   API Orders: 4 / 1200   Orders 10S: 3 / 300  PriceLag: 0.01% (API3 PriceLag: 0.01%) Latency: 363 / 363  Ping: 16 / 16 	StopLoss AutoActivated on price drop: BID = 1.2581 BidEMA: 1.2581 LastPrice = 1.2582 BuyPrice = 1.2692 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 1.2603 All 	done 	0.47 	1.79 	2.64 	0.1 	3.97 	5.5 	1.86 	2.53 	2.22 	0.09 	0 	0.72 	13.2 m 	319.6 m
WAVES 	2022-04-18 02:23:26 	2022-04-18 02:23:30 	19.62100000 	19.71800000 	0.45 	22.7% 	0.45% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 14 Sys: 89  AppLatency: 0.0 sec  API Req: 493 / 2400   API Orders: 9 / 1200   Orders 10S: 2 / 300  PriceLag: 0.02% (AKRO PriceLag: 0.04%) Latency: 514 / 514  Ping: 114 / 125 	Auto Price Down 	done 	-0.81 	-1.46 	-2.83 	0.25 	5.04 	5.34 	1.51 	3.21 	2.98 	0.6 	0 	16.39 	30.0 m 	278.3 m
WAVES 	2022-04-05 20:10:11 	2022-04-05 20:10:54 	30.91000000 	30.95400000 	0.08 	4.1% 	0.08% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 5 Sys: 36  AppLatency: 0.0 sec  API Req: 241 / 2400   API Orders: 7 / 1200   Orders 10S: 2 / 300  PriceLag: 0.01% (THETA PriceLag: 0.01%) Latency: 220 / 220  Ping: 12 / 12 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.06% < 0.3%  | EMA(3sec, 1sec) = 0.07% < 0.4%  | EMA(3sec, 1sec) = 0.07%  EMA(3sec, 1sec) = 0.07% 	done 	0.33 	-0.77 	-0.89 	0 	7.6 	16.39 	2.71 	2.17 	1.58 	0.05 	0 	1.28 	274.2 m 	2635.4 m
WAVES 	2022-04-05 01:50:21 	2022-04-05 01:50:26 	34.33400000 	34.43700000 	0.26 	13.0% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 6 Sys: 29  AppLatency: 0.0 sec  API Req: 403 / 2400   API Orders: 1 / 1200  PriceLag: 0.04% (XEM PriceLag: 0.04%) Latency: 213 / 213  Ping: 10 / 10 	Auto Price Down 	done 	0.73 	1.64 	-0.42 	0.62 	4.56 	10.93 	2.33 	2.33 	1.38 	0.2 	0 	0.65 	99.0 m 	2028.3 m
ZIL 	2022-04-03 19:24:58 	2022-04-03 19:25:04 	0.15583000 	0.15567000 	-0.16 	-8.1% 	-0.16% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 2 Sys: 35  AppLatency: 0.0 sec  API Req: 1005 / 2400   API Orders: 8 / 1200   Orders 10S: 3 / 300  PriceLag: 0.02% (TLM PriceLag: 0.04%) Latency: 306 / 306  Ping: 13 / 13 	Sell by FilterCheck:EMA(2sec, 1sec) = 0.10% < 0.3%  | EMA(3sec, 1sec) = 0.05% < 0.4%  | EMA(3sec, 1sec) = 0.05%  EMA(3sec, 1sec) = 0.05% 	done 	-0.46 	0.05 	-0.02 	1.13 	1.65 	8.1 	2.41 	3.47 	2.5 	0.14 	0 	3.15 	49.0 m 	1928.6 m
ZIL 	2022-04-03 02:00:42 	2022-04-03 02:00:43 	0.16850000 	0.16968000 	0.66 	33.0% 	0.66% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 9 Sys: 45  AppLatency: 0.0 sec  API Req: 831 / 2400   API Orders: 1 / 1200  PriceLag: 0.02% (CRV PriceLag: 0.02%) Latency: 301 / 301  Ping: 10 / 10 	Sell Price 	done 	-0.13 	-0.7 	-1.02 	0.92 	5.04 	6.31 	4.99 	5.98 	4.11 	0.07 	0 	3.55 	44.4 m 	2410.5 m
BAKE 	2022-04-02 18:12:26 	2022-04-02 18:12:31 	1.25380000 	1.25760000 	0.26 	13.1% 	0.26% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 4 Sys: 45  AppLatency: 0.0 sec  API Req: 438 / 2400   API Orders: 2 / 1200   Orders 10S: 1 / 300  PriceLag: 0.04% (XEM PriceLag: 0.04%) Latency: 351 / 351  Ping: 12 / 11 	Auto Price Down 	done 	-0.47 	-0.09 	-0.63 	1.26 	2.79 	5.46 	3.19 	3.05 	2.62 	0.12 	0 	3.13 	7.7 m 	291.8 m
CELR 	2022-03-31 18:32:10 	2022-03-31 18:32:13 	0.07060000 	0.06993000 	-1 	-50.4% 	-1.01% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 11 Sys: 51  AppLatency: 0.1 sec  API Req: 228 / 2400   API Orders: 21 / 1200  PriceLag: 0.01% (RAY PriceLag: 0.03%) Latency: 218 / 218  Ping: 19 / 19 	StopLoss AutoActivated on price drop: BID = 0.07030 BidEMA: 0.07030 LastPrice = 0.07031 BuyPrice = 0.07060 (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>); StopLoss fixed: 0.0701 	done 	-0.06 	-1.25 	-1.59 	31.71 	0 	37.31 	13.56 	7.63 	3.84 	0.05 	0 	23.9 	72.0 m 	176.4 m
WAVES 	2022-03-31 05:50:54 	2022-03-31 05:50:54 	49.99400000 	50.44600000 	0.84 	42.2% 	0.84% 	50 	MoonShot: (strategy <2. MSH /5min pump 0.30-0.40_29.10.21>)  CPU: Bot 8 Sys: 39  AppLatency: 0.0 sec  API Req: 1005 / 2400   API Orders: 2 / 1200  PriceLag: 0.01% (EOS PriceLag: 0.02%) Latency: 195 / 195  Ping: 10 / 10 	Sell Price 	done 	-0.19 	-0.09 	2.93 	0.74 	3.61 	4.42 	3.04 	3.41 	3.26 	0.04 	0 	7.59 	27.6 m 	975.4 m
